index,continent,CNT1,PV1MATH,ST57Q01
"(-5.95, -4.573](-4.573, -3.196]",Asia,South Korea,460.749346667,2.53333333333
"(-5.95, -4.573](-4.573, -3.196]",Asia,Taiwan,479.099596774,3.63709677419
"(-5.95, -4.573](-4.573, -3.196]",Asia,Thailand,405.946317635,4.87286397813
"(-5.95, -4.573](-4.573, -3.196]",Asia,UAE,367.946034591,4.57232704403
"(-5.95, -4.573](-4.573, -3.196]",Asia,Vietnam,491.937858853,5.19029233315
"(-5.95, -4.573](-4.573, -3.196]",Central America,Costa Rica,378.939383711,3.08781869688
"(-5.95, -4.573](-4.573, -3.196]",Europe,Austria,419.306318182,3.63636363636
"(-5.95, -4.573](-4.573, -3.196]",Europe,Belgium,450.975650847,4.47457627119
"(-5.95, -4.573](-4.573, -3.196]",Europe,Bulgaria,375.139235938,3.2265625
"(-5.95, -4.573](-4.573, -3.196]",Europe,Croatia,417.765526087,4.79347826087
"(-5.95, -4.573](-4.573, -3.196]",Europe,Czech Republic,401.72535,1.5
"(-5.95, -4.573](-4.573, -3.196]",Europe,Denmark,408.502101667,3.83333333333
"(-5.95, -4.573](-4.573, -3.196]",Europe,Estonia,448.76345,4.375
"(-5.95, -4.573](-4.573, -3.196]",Europe,Finland,395.197287143,3.18571428571
"(-5.95, -4.573](-4.573, -3.196]",Europe,France,411.841795,3.2
"(-5.95, -4.573](-4.573, -3.196]",Europe,Germany,413.848946429,4.28571428571
"(-5.95, -4.573](-4.573, -3.196]",Europe,Greece,394.298820183,4.10091743119
"(-5.95, -4.573](-4.573, -3.196]",Europe,Hungary,386.436972222,4.18888888889
"(-5.95, -4.573](-4.573, -3.196]",Europe,Ireland,409.405373077,6.07692307692
"(-5.95, -4.573](-4.573, -3.196]",Europe,Italy,416.623494306,5.85765124555
"(-5.95, -4.573](-4.573, -3.196]",Europe,Latvia,433.9506375,5.41666666667
"(-5.95, -4.573](-4.573, -3.196]",Europe,Lithuania,404.290648333,5.25
"(-5.95, -4.573](-4.573, -3.196]",Europe,Luxembourg,432.150379545,3.78977272727
"(-5.95, -4.573](-4.573, -3.196]",Europe,Montenegro,359.235691964,3.25
"(-5.95, -4.573](-4.573, -3.196]",Europe,Netherlands,487.548327273,5.31818181818
