"Daily Time Detail -- Hard Skills in Data Science"
"04 de outubro de 2014 to 16 de agosto de 2015"

Hard Skills in Data Science,17:52,19:01,1:09,""
Hard Skills in Data Science,20:45,21:35,0:49,""
Total,3:10

"SÁBADO, 22 DE NOVEMBRO"
Hard Skills in Data Science,1:08,4:28,3:20,""
Total,3:20

"DOMINGO, 23 DE NOVEMBRO"
Hard Skills in Data Science,0:30,2:10,1:41,""
Hard Skills in Data Science,23:00,23:59,1:00,""
Total,2:41

"SEGUNDA-FEIRA, 24 DE NOVEMBRO"
Hard Skills in Data Science,0:00,1:30,1:30,""
Hard Skills in Data Science,22:47,23:59,1:12,""
Total,2:42

"TERÇA-FEIRA, 25 DE NOVEMBRO"
Hard Skills in Data Science,0:00,0:29,0:29,""
Hard Skills in Data Science,2:00,2:32,0:32,""
Total,1:02

"QUARTA-FEIRA, 26 DE NOVEMBRO"
Hard Skills in Data Science,0:15,1:45,1:30,""
Total,1:30

"QUINTA-FEIRA, 27 DE NOVEMBRO"
Hard Skills in Data Science,0:30,1:24,0:54,""
Total,0:54

"SEXTA-FEIRA, 28 DE NOVEMBRO"
[No entries]

"SÁBADO, 29 DE NOVEMBRO"
[No entries]

"DOMINGO, 30 DE NOVEMBRO"
Hard Skills in Data Science,22:30,23:59,1:30,""
Total,1:30

"SEGUNDA-FEIRA, 1 DE DEZEMBRO"
Hard Skills in Data Science,0:00,1:30,1:30,""
Hard Skills in Data Science,22:21,23:59,1:38,""
Total,3:08

"TERÇA-FEIRA, 2 DE DEZEMBRO"
Hard Skills in Data Science,1:00,3:15,2:15,""
Total,2:15

"QUARTA-FEIRA, 3 DE DEZEMBRO"
Hard Skills in Data Science,0:38,2:45,2:06,""
Total,2:06

"QUINTA-FEIRA, 4 DE DEZEMBRO"
Hard Skills in Data Science,1:00,2:30,1:29,""
Total,1:29

"SEXTA-FEIRA, 5 DE DEZEMBRO"
Hard Skills in Data Science,0:30,3:15,2:45,""
Hard Skills in Data Science,13:15,14:45,1:30,""
Total,4:15

"SÁBADO, 6 DE DEZEMBRO"
[No entries]

"DOMINGO, 7 DE DEZEMBRO"
Hard Skills in Data Science,19:54,20:05,0:11,""
Total,0:11

"SEGUNDA-FEIRA, 8 DE DEZEMBRO"
Hard Skills in Data Science,17:15,19:55,2:41,""
Total,2:41

"TERÇA-FEIRA, 9 DE DEZEMBRO"
Hard Skills in Data Science,0:00,1:20,1:21,""
Hard Skills in Data Science,1:53,2:31,0:38,""
Total,1:59

"QUARTA-FEIRA, 10 DE DEZEMBRO"
Hard Skills in Data Science,0:19,2:58,2:39,""
Hard Skills in Data Science,22:45,23:59,1:15,""
Total,3:54

"QUINTA-FEIRA, 11 DE DEZEMBRO"
Hard Skills in Data Science,0:00,1:00,1:00,""
Total,1:00

"SEXTA-FEIRA, 12 DE DEZEMBRO"
Hard Skills in Data Science,1:30,3:00,1:30,""
Total,1:30

"SÁBADO, 13 DE DEZEMBRO"
[No entries]

"DOMINGO, 14 DE DEZEMBRO"
Hard Skills in Data Science,23:30,23:59,0:30,""
Total,0:30

"SEGUNDA-FEIRA, 15 DE DEZEMBRO"
Hard Skills in Data Science,0:00,0:49,0:49,""
Total,0:49

"TERÇA-FEIRA, 16 DE DEZEMBRO"
Hard Skills in Data Science,0:02,0:06,0:04,""
Hard Skills in Data Science,0:17,1:56,1:39,""
Total,1:43

"QUARTA-FEIRA, 17 DE DEZEMBRO"
Hard Skills in Data Science,0:45,1:45,1:00,""
Total,1:00

"QUINTA-FEIRA, 18 DE DEZEMBRO"
[No entries]

"SEXTA-FEIRA, 19 DE DEZEMBRO"
[No entries]

"SÁBADO, 20 DE DEZEMBRO"
[No entries]

"DOMINGO, 21 DE DEZEMBRO"
Hard Skills in Data Science,14:15,15:45,1:30,""
Total,1:30

"SEGUNDA-FEIRA, 22 DE DEZEMBRO"
[No entries]

"TERÇA-FEIRA, 23 DE DEZEMBRO"
[No entries]

"QUARTA-FEIRA, 24 DE DEZEMBRO"
[No entries]

"QUINTA-FEIRA, 25 DE DEZEMBRO"
[No entries]

"SEXTA-FEIRA, 26 DE DEZEMBRO"
[No entries]

"SÁBADO, 27 DE DEZEMBRO"
[No entries]

"DOMINGO, 28 DE DEZEMBRO"
[No entries]

"SEGUNDA-FEIRA, 29 DE DEZEMBRO"
Hard Skills in Data Science,0:24,1:29,1:05,""
Total,1:05

"TERÇA-FEIRA, 30 DE DEZEMBRO"
Hard Skills in Data Science,0:13,2:15,2:02,""
Total,2:02

"QUARTA-FEIRA, 31 DE DEZEMBRO"
Hard Skills in Data Science,1:00,2:15,1:15,""
Hard Skills in Data Science,18:53,19:28,0:35,""
Hard Skills in Data Science,19:36,20:24,0:48,""
Total,2:38

"QUINTA-FEIRA, 1 DE JANEIRO"
[No entries]

"SEXTA-FEIRA, 2 DE JANEIRO"
Hard Skills in Data Science,15:29,16:07,0:38,""
Total,0:38

"SÁBADO, 3 DE JANEIRO"
Hard Skills in Data Science,1:55,2:49,0:54,""
Total,0:54

"DOMINGO, 4 DE JANEIRO"
Hard Skills in Data Science,1:37,2:31,0:54,""
Total,0:54

"SEGUNDA-FEIRA, 5 DE JANEIRO"
[No entries]

"TERÇA-FEIRA, 6 DE JANEIRO"
Hard Skills in Data Science,0:28,1:30,1:02,""
Total,1:02

"QUARTA-FEIRA, 7 DE JANEIRO"
Hard Skills in Data Science,1:00,2:20,1:20,""
